0,1,2,3,4,5,6
2.393414752333333,2.387939534500001,2.3895653359999995,2.3951422819999992,2.44896758,2.4663458666666664,2.59747
1.9261371933333336,1.9305134555000008,1.9324550910000007,1.920971648000001,1.94118134,1.9591581999999998,1.7893971
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.627965407000001,1.626992958500001,1.6275261190000003,1.619716244,1.56370813,1.5014141666666667,1.4313215
1.0610695971000006,1.0549303209499998,1.0554671240999995,1.0498042277999997,1.030959554,0.9258567666666666,0.70288765
1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.3099051413333327,2.3083523949999987,2.3078090429999993,2.3076894719999994,2.2631852500000003,2.1804124999999996,2.1878285
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.14870587126999993,0.147612810845,0.14447816097999994,0.13666949947999998,0.13216825640000002,0.14675241466666666,0.16043344
0.4878657253666669,0.4846107171,0.48589169150000033,0.48834270839999994,0.46993928600000007,0.47024953333333336,0.48090082
0.7372285761666668,0.7320103904000006,0.7362487953000002,0.7377336174000001,0.70766285,0.72945227,0.75956094
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1728696728566654,1.1718601142349996,1.1786641908699997,1.1632169157400005,1.20273625,1.2147058666666666,1.1842735
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.07358578941000007,0.07149962108000003,0.07009897416999998,0.07091428256,0.0648902522,0.03911343466666667,0.057986036
0.07322936574333339,0.07097969491000003,0.07257487838999999,0.07280118882,0.08271217480000001,0.08644761733333334,0.093489885
0.0758089403533333,0.07780286153499998,0.07634701113999998,0.07726621662000001,0.0757186768,0.09139066833333333,0.08119701
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.023425928846666697,0.027159078075000044,0.07573330625000003,0.08736498132000005,0.2894608957,0.20791455,-0.09479053
0.05737618097333333,0.05253343292999999,0.054390953579999984,0.08080193802,0.06060096599999999,0.012641854666666674,-0.15651411
0.03165069795333334,0.04558580663000001,0.04763297159999999,0.04125153893999999,-0.079508687,0.14664745666666668,0.41364983
-0.05686416176999997,-0.06267873086499995,-0.09691697836999996,-0.09379751669999999,-0.03224227599999998,-0.15027995666666666,-0.25295445
0.2914442245533333,0.2800337026899999,0.32964850022000003,0.3142924204,0.30362584470000004,0.257212687,0.41380072
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.3996242014800009,1.3935003747199997,1.3982111845999996,1.3940634771999998,1.4147611,1.4509572333333332,1.4190924
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.9112089476666665,1.9092783655000005,1.9033036220000001,1.8759333039999995,1.8983226899999999,1.9557899333333333,1.9702742
0.5438305007,0.5493327557,0.5580702036,0.6008065129999999,0.576958139,0.6594202533333333,0.6416426
1.2843696158666673,1.2851506458000006,1.2841770536000001,1.2721142132,1.34972776,1.3754883333333332,1.2863419
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.150514131400001,1.1429327577000001,1.1394131874999998,1.124386621,1.072583825,1.0645889,1.1229675
2.872809404,2.8747651825000013,2.8704989560000014,2.8582955880000003,2.8746463099999997,2.887006566666667,2.8545613
1.9367918130000006,1.9378786129999994,1.9414226399999992,1.9358887800000004,1.9259567400000002,1.964006666666667,1.851451
2.285459671000001,2.2867366045000006,2.28846977,2.270254952,2.25249722,2.252886033333333,2.3163793
1.332668767533333,1.3347104260000002,1.3303988229999997,1.345487374,1.35650862,1.3575948,1.3403938
2.4530253910000006,2.4536103035000005,2.4391288610000004,2.4268732999999996,2.43325494,2.3165593,2.2588358
2.230197601,2.238285827499999,2.241356189999999,2.243904512,2.25455686,2.3817282333333334,2.42858
0.8356383687666665,0.83488219815,0.8325512321999997,0.8370135225999998,0.86389552,0.8774074333333334,0.87672925
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.002457010413333333,0.002576589509999999,0.0031478012899999993,0.0030579172,0.0007794286,0.000555609,0.000807404
0.061519526916666706,0.06512727685500005,0.05989902741999998,0.07430047304,0.0413850717,0.056258711999999995,0.16760434
0.020218761466666648,0.019228261679999983,0.017975567510000005,0.023816760560000004,0.0186483402,0.06082525233333333,0.000885427
0.05902847637666664,0.050426748925,0.05220274582999997,0.05938931709999997,0.0954086216,0.07592197599999999,0.000824431
0.023541721459999998,0.025676126935000005,0.025388210510000005,0.0198613491,0.0165319803,0.011688886666666667,0.026963308
0.019875050876666665,0.019709955135,0.019351437959999995,0.020349688579999997,0.040182006,0.0006990723333333334,0.000877857
0.11338188236333333,0.11344860216999997,0.11932050500999997,0.09131055688000002,0.0692093042,0.10909783366666666,0.000805001
0.4628090855666663,0.45448216914999984,0.44869035899999987,0.43782210219999995,0.433105127,0.4806812566666667,0.48170727
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
