Non_Zero_Non_One_Weights,Biases
,4.2469716
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.59396726,
1.0,
0.57333803,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.38994327
,0.0
,0.49469504
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5768902,
0.6317311,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.29580557
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
1.0093703,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.650245
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.7975973,
1.0,
1.0,
0.2714871,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.7250089
,0.0
,0.0
,0.121777646
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
6.18716e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.3591787,
,-0.71919626
1.2620388,
0.11719144,
0.6602608,
1.0919452,
1.1098557,
0.5711706,
1.186931,
1.372713,
,-0.39766905
,0.6074245
,1.024876
,0.5971182
,0.5288841
,1.0764947
,-0.41724783
,0.82157797
1.0,
1.0,
1.0,
1.0,
0.64012235,
0.3427806,
0.21779011,
1.0,
3.0163998e-05,
,0.0
,0.0
,0.0
,0.0
,0.8144294
,-0.022337167
,0.3450853
,0.0
1.0,
1.0,
1.0,
1.0,
0.9542271,
1.0,
0.6535716,
0.33932802,
,0.0
,0.0
,0.0
,0.0
,0.9937179
,0.0
,0.37357023
,-0.008029484
1.0,
1.0,
1.0,
1.0,
1.228583,
1.1506611,
1.0883628,
2.2401934,
0.7109182,
1.0,
1.2236559,
2.0968106,
,0.0
,0.0
,0.0
,0.0
,0.6074407
,0.91229534
,1.9551635
,0.27113464
,0.0
,1.1002312
,1.5541775
1.0,
1.0,
1.0,
1.0,
1.0,
1.2459149,
1.0,
0.6953246,
1.0,
0.7160076,
0.73387015,
-0.00044263908,
-0.00014009431,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.5151854
,0.0
,0.72821534
,0.0
,0.6165164
,4.9848413
,4.246287
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5480784,
1.0,
0.61120886,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.5954176
,0.0
,0.35510814
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5058892,
0.6501569,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.4538922
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
1.0363127,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.54070616
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.85772794,
1.0,
1.0,
0.19502923,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.43918532
,0.0
,0.0
,0.3691084
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
9.0759684e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.32565677,
,-0.33936197
1.2977557,
0.24951513,
0.7415856,
1.1844417,
1.242062,
0.8607113,
0.86694264,
1.2954494,
,-0.51744217
,0.16413751
,0.75237566
,0.28717962
,0.08594909
,0.10667395
,0.6552297
,1.0802684
1.0,
1.0,
1.0,
1.0,
0.6196869,
0.19738637,
0.21214433,
1.0,
7.315393e-06,
,0.0
,0.0
,0.0
,0.0
,0.9012385
,0.4128279
,0.36130732
,0.0
1.0,
1.0,
1.0,
1.0,
0.96643186,
1.0,
0.74235475,
0.24089442,
,0.0
,0.0
,0.0
,0.0
,0.9506007
,0.0
,0.2978524
,0.28130558
1.0,
1.0,
1.0,
1.0,
1.1834593,
1.1058654,
1.2693415,
2.2607262,
0.57238257,
1.0,
0.04239609,
2.024261,
,0.0
,0.0
,0.0
,0.0
,0.80435044
,0.7550323
,1.9083447
,0.4061877
,0.0
,-3.3079872
,1.7690302
1.0,
1.0,
1.0,
1.0,
1.0,
1.1313397,
1.0,
0.6718144,
1.0,
1.9183528,
0.00020318611,
-6.151012,
-4.310625,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.8803007
,0.0
,0.82656986
,0.0
,1.2412143
,4.80425
,4.1142826
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.52162415,
1.0,
0.50835943,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.71391666
,0.0
,0.7341237
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5751751,
0.5445361,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.57888716
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
1.0538538,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.46940026
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.80826765,
1.0,
1.0,
0.19869164,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.6742884
,0.0
,0.0
,0.35814676
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
6.535506e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.35169843,
,-0.63455987
0.73659676,
0.25109157,
0.81126994,
0.9695423,
1.1392999,
0.58017856,
0.93788826,
1.4912509,
,1.3626033
,0.15891466
,0.5191412
,1.0072958
,0.43034685
,1.0465249
,0.417066
,0.42470002
1.0,
1.0,
1.0,
1.0,
0.6504161,
0.30277997,
0.35572597,
1.0,
5.9785383e-05,
,0.0
,0.0
,0.0
,0.0
,0.7708753
,0.09774609
,-0.06785739
,0.0
1.0,
1.0,
1.0,
1.0,
1.0671633,
1.0,
0.56059295,
0.24529532,
,0.0
,0.0
,0.0
,0.0
,0.59472024
,0.0
,0.47226322
,0.3327854
1.0,
1.0,
1.0,
1.0,
1.1352584,
0.8967532,
1.5291305,
2.4836078,
0.45488077,
1.0,
1.2277162,
2.0468862,
,0.0
,0.0
,0.0
,0.0
,1.0146085
,0.70459217
,1.6913978
,0.53103834
,0.0
,1.0797346
,1.601346
1.0,
1.0,
1.0,
1.0,
1.0,
1.1954653,
1.0,
0.6863331,
1.0,
0.703018,
0.8589442,
-0.0005207238,
-6.975311e-07,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.67720205
,0.0
,0.7661957
,0.0
,0.3114434
,4.9682107
,4.251313
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5566374,
1.0,
0.533199,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.55707353
,0.0
,0.64259857
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.50722545,
0.6977712,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.2992603
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
1.037466,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.5359987
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.8026003,
1.0,
1.0,
0.19145681,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.7012256
,0.0
,0.0
,0.3806654
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
5.0329836e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.2686531,
,0.30614385
1.1515946,
0.21276237,
0.53401756,
0.91352546,
1.3021543,
0.56889254,
0.82284164,
1.619757,
,-0.027390594
,0.28733084
,1.4479202
,1.195049
,-0.114897184
,1.0843782
,0.8020892
,-0.0055619087
1.0,
1.0,
1.0,
1.0,
0.6782623,
0.33172825,
0.20118786,
1.0,
4.483398e-05,
,0.0
,0.0
,0.0
,0.0
,0.65248424
,0.009919205
,0.3959477
,0.0
1.0,
1.0,
1.0,
1.0,
1.1193843,
1.0,
0.754453,
0.29705513,
,0.0
,0.0
,0.0
,0.0
,0.41046724
,0.0
,0.2628451
,0.21793585
1.0,
1.0,
1.0,
1.0,
1.1728014,
1.0949963,
1.391789,
2.2397423,
0.6565795,
1.0,
1.2396532,
2.036121,
,0.0
,0.0
,0.0
,0.0
,0.8504935
,0.6714961
,1.9844266
,0.3331118
,0.0
,0.9818985
,1.4660276
1.0,
1.0,
1.0,
1.0,
1.0,
1.1404374,
1.0,
0.72459406,
1.0,
0.67097837,
0.76172537,
-0.00040384056,
-0.0001122081,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.8500071
,0.0
,0.5977562
,0.0
,0.60170615
,4.9797354
,4.248191
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5076727,
1.0,
0.46632296,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.776395
,0.0
,0.88894373
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.65643036,
0.51001275,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.44024292
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
1.0151713,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.6266481
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.84021556,
1.0,
1.0,
0.18093418,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.52242696
,0.0
,0.0
,0.41469628
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
4.489325e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.28891495,
,0.076593034
0.8207082,
0.35196972,
0.5839516,
1.2950903,
0.9177636,
0.6246941,
0.87323457,
1.1217763,
,1.0809654
,-0.1789538
,1.280673
,-0.08302399
,1.1724776
,0.8975033
,0.6338726
,1.6625096
1.0,
1.0,
1.0,
1.0,
0.64700264,
0.32785258,
0.29616722,
1.0,
1.552579e-05,
,0.0
,0.0
,0.0
,0.0
,0.7856899
,0.020667354
,0.11242156
,0.0
1.0,
1.0,
1.0,
1.0,
0.9606452,
1.0,
0.6479875,
0.2557263,
,0.0
,0.0
,0.0
,0.0
,0.97075385
,0.0
,0.36500874
,0.27910808
1.0,
1.0,
1.0,
1.0,
1.1759804,
1.023176,
1.2249659,
2.0700965,
0.5674715,
1.0,
1.2829404,
1.7727219,
,0.0
,0.0
,0.0
,0.0
,0.83692354
,0.91894674
,2.1658828
,0.42576498
,0.0
,1.0343654
,1.9604634
1.0,
1.0,
1.0,
1.0,
1.0,
1.1474568,
1.0,
0.72344625,
1.0,
0.573802,
0.82726115,
-5.0274127e-09,
-8.273432e-07,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.82686067
,0.0
,0.60165846
,0.0
,0.53668106
,4.9899898
,4.24742
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.576458,
1.0,
0.6012368,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.46836415
,0.0
,0.39193717
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.4033886,
0.75153065,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.4430767
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
1.0430865,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.5131715
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.816077,
1.0,
1.0,
0.25688165,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.6371661
,0.0
,0.0
,0.16899015
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
3.2678276e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.22977547,
,0.74660987
0.8260829,
0.428947,
0.71059495,
1.1769401,
1.1550857,
0.7847414,
1.0266887,
1.2160183,
,1.062912
,-0.43681854
,0.8564284
,0.31266278
,0.3775152
,0.36139858
,0.11974154
,1.3467641
1.0,
1.0,
1.0,
1.0,
0.75854456,
0.33701757,
0.23560749,
1.0,
2.378787e-05,
,0.0
,0.0
,0.0
,0.0
,0.31198403
,-0.005786527
,0.29129538
,0.0
1.0,
1.0,
1.0,
1.0,
1.0832338,
1.0,
0.5634239,
0.28138366,
,0.0
,0.0
,0.0
,0.0
,0.5376902
,0.0
,0.45908338
,0.2345643
1.0,
1.0,
1.0,
1.0,
1.1435528,
1.025426,
1.295408,
2.1684508,
0.49183935,
1.0,
1.3798559,
2.1407678,
,0.0
,0.0
,0.0
,0.0
,0.97837734
,0.8325467
,2.0436554
,0.4980428
,0.0
,0.8639418
,1.4205623
1.0,
1.0,
1.0,
1.0,
1.0,
1.1984177,
1.0,
0.70868576,
1.0,
0.88357043,
0.71782446,
-2.2537986e-06,
-0.00015195429,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.6658561
,0.0
,0.66770494
,0.0
,0.48918146
,4.9662695
,4.2449284
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.52373606,
1.0,
0.60055864,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.70445514
,0.0
,0.3944061
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5017542,
0.6790948,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.37423435
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
1.0606529,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.44175512
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.8450947,
1.0,
1.0,
0.25814193,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.49923742
,0.0
,0.0
,0.16493878
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
5.0246188e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.2777796,
,0.19921811
0.9056789,
0.37511387,
0.7797898,
1.1040621,
1.2218024,
0.92880875,
1.1560401,
1.2069945,
,0.7961599
,-0.25660664
,0.62454325
,0.5567497
,0.15414752
,-0.12130437
,-0.3133412
,1.3769591
1.0,
1.0,
1.0,
1.0,
0.71627337,
0.30875513,
0.28620338,
1.0,
3.1892876e-05,
,0.0
,0.0
,0.0
,0.0
,0.49120066
,0.07805013
,0.13969843
,0.0
1.0,
1.0,
1.0,
1.0,
0.98006684,
1.0,
0.79106134,
0.28058058,
,0.0
,0.0
,0.0
,0.0
,0.9019762
,0.0
,0.22935121
,0.15351415
1.0,
1.0,
1.0,
1.0,
1.1748983,
0.8460651,
1.194094,
2.0626493,
0.52224493,
1.0,
1.0511676,
1.8033649,
,0.0
,0.0
,0.0
,0.0
,0.84184957
,1.1198647
,2.1594849
,0.46874937
,0.0
,1.3538446
,1.9941143
1.0,
1.0,
1.0,
1.0,
1.0,
1.152207,
1.0,
0.6922236,
1.0,
0.8259762,
0.86141515,
-8.292771e-08,
-0.00012934783,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.8128071
,0.0
,0.7368519
,0.0
,0.18540666
,4.968707
,4.246687
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5870687,
1.0,
0.61255926,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.420782
,0.0
,0.35019377
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.3819191,
0.6883059,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.7103488
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
1.049903,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.485441
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.8609629,
1.0,
1.0,
0.16804235,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.42379004
,0.0
,0.0
,0.45642158
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
2.531216e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.26638344,
,0.33175227
1.1522887,
0.3792951,
0.8602727,
1.143201,
1.0891662,
0.83650273,
0.90717864,
1.3482447,
,-0.029585326
,-0.27044588
,0.355186
,0.4258506
,0.59856135
,0.18814528
,0.5203074
,0.90402585
1.0,
1.0,
1.0,
1.0,
0.7853631,
0.2875648,
0.26743707,
1.0,
3.586808e-05,
,0.0
,0.0
,0.0
,0.0
,0.19789788
,0.14359918
,0.19271217
,0.0
1.0,
1.0,
1.0,
1.0,
0.97616,
1.0,
0.7798682,
0.3341786,
,0.0
,0.0
,0.0
,0.0
,0.9162402
,0.0
,0.2829143
,-0.044854354
1.0,
1.0,
1.0,
1.0,
1.2527899,
1.1681874,
0.9548023,
2.0133476,
0.44722807,
1.0,
0.010749627,
1.9442466,
,0.0
,0.0
,0.0
,0.0
,0.5014071
,0.9990308
,2.1141672
,0.52701104
,0.0
,-7.7061806
,1.8479006
1.0,
1.0,
1.0,
1.0,
1.0,
1.2495664,
1.0,
0.74506205,
1.0,
1.8969462,
0.0011758438,
-8.40212,
-6.8406935,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.5045669
,0.0
,0.5234856
,0.0
,1.2217336
,4.3678756
,3.7309592
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.58334684,
1.0,
0.5838259,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.4374676
,0.0
,0.45587975
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.42968786,
0.7788466,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.27757248
,0.0
